Distance,Speed,Throttle,Brake,Time
552.0,329.0,100.0,0.0,4495.57811550152
554.0,329.0,100.0,0.0,4495.6
556.0,329.0,100.0,0.0,4495.6218844984805
558.0,329.0,100.0,0.0,4495.643768996961
560.0,329.0,100.0,0.0,4495.665653495441
562.0,329.0,100.0,0.0,4495.687538830651
564.0,329.0,100.0,0.0,4495.709423258283
566.0,329.0,100.0,0.0,4495.731307685915
568.0,329.0,100.0,0.0,4495.753192113549
570.0,329.0,100.0,0.0,4495.775076541181
572.0,329.0,100.0,0.0,4495.796960968813
574.0,329.0,100.0,0.0,4495.818845396447
576.0,329.0,100.0,0.0,4495.840729824079
578.0,329.0,100.0,0.0,4495.862614251711
580.0,329.0,100.0,0.0,4495.884498679345
582.0,329.0,100.0,0.0,4495.906383106977
584.0,329.0,100.0,0.0,4495.928267534609
586.0,329.0103499646827,100.0,0.0,4495.950139987479
588.0,329.0649032192327,100.0,0.0,4495.971961297762
590.0,329.1194564737827,100.0,0.0,4495.993782608047
592.0,329.1740097283327,100.0,0.0,4496.015603918331
594.0,329.2285629828827,100.0,0.0,4496.037425228615
596.0,329.28311623743264,100.0,0.0,4496.059246538899
598.0,329.33766949198264,100.0,0.0,4496.081067849183
600.0,329.39222274653264,100.0,0.0,4496.102889159467
602.0,329.44676304142575,100.0,0.0,4496.12470528057
604.0,329.50129566964426,100.0,0.0,4496.146518331858
606.0,329.5558282978627,100.0,0.0,4496.168331383145
608.0,329.6103609260812,100.0,0.0,4496.190144434432
610.0,329.6648935542997,100.0,0.0,4496.21195748572
612.0,329.71942618251813,100.0,0.0,4496.233770537007
614.0,329.77395881073664,100.0,0.0,4496.255583588295
616.0,329.8284914389551,100.0,0.0,4496.277396639583
618.0,329.8830240671736,100.0,0.0,4496.299209690869
620.0,329.93755669539206,100.0,0.0,4496.321022742157
622.0,329.9921519367577,100.0,0.0,4496.342860788097
624.0,329.93304228440616,100.0,0.0,4496.364748168641
626.0,329.85485617472796,100.0,0.0,4496.3866402890135
628.0,329.77667006504976,100.0,0.0,4496.408532409387
630.0,329.69848395537156,100.0,0.0,4496.430424529759
632.0,329.62029784569336,100.0,0.0,4496.452316650131
634.0,329.54211173601516,100.0,0.0,4496.474208770504
636.0,329.46393875963946,100.0,0.0,4496.496097208885
638.0,329.3858090157698,100.0,0.0,4496.517973526797
640.0,329.3076792719001,100.0,0.0,4496.539849844709
642.0,329.2295495280304,100.0,0.0,4496.561726162622
644.0,329.15141978416074,100.0,0.0,4496.583602480535
646.0,329.0732900402911,100.0,0.0,4496.605478798448
648.0,329.00845085570853,100.0,0.0,4496.6273521403755
650.0,329.1448772258912,100.0,0.0,4496.649180415484
652.0,329.281235448562,100.0,0.0,4496.670997726289
654.0,329.41758747391776,100.0,0.0,4496.692814040004
